,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
50,Indiana Pacers,Boston Celtics,0.75,0.518,0.303,0.722,41.2,26.9,14.4,9.8,6.0,7.0,111.5,105.1,0.59,0.5,0.461,0.393,0.725,41.8,22.0,13.5,9.3,5.3,-5.8,110.0,115.2,0.553,0,12/29/2020
51,Sacramento Kings,Denver Nuggets,0.75,0.464,0.373,0.739,45.0,24.5,14.3,5.6,5.3,-0.2,110.2,109.6,0.559,0.25,0.501,0.355,0.72,41.0,26.9,15.5,6.8,5.8,-2.9,113.8,116.7,0.595,1,12/29/2020
52,Washington Wizards,Chicago Bulls,0.0,0.468,0.331,0.722,41.5,25.3,15.9,5.6,4.0,-7.3,104.7,111.9,0.558,0.25,0.433,0.371,0.802,38.6,21.9,17.1,6.4,3.9,-7.3,103.4,111.2,0.563,0,12/29/2020
53,Oklahoma City Thunder,Orlando Magic,0.333,0.471,0.333,0.694,44.7,21.4,17.5,7.1,6.1,-3.2,105.2,108.8,0.564,1.0,0.484,0.349,0.814,44.2,22.1,12.6,9.7,1.9,8.1,114.3,106.4,0.581,0,12/29/2020
54,San Antonio Spurs,Los Angeles Lakers,0.5,0.466,0.378,0.803,45.1,27.7,12.8,6.0,6.0,0.0,108.9,108.7,0.559,0.6,0.524,0.417,0.766,45.3,25.8,16.6,5.7,5.5,11.3,117.6,106.0,0.627,0,12/30/2020
55,Boston Celtics,Memphis Grizzlies,0.6,0.477,0.397,0.743,41.6,22.9,13.9,10.8,6.4,-0.8,112.7,112.6,0.571,0.25,0.443,0.318,0.752,44.4,21.7,14.5,6.8,4.9,-8.4,106.1,114.8,0.536,1,12/30/2020
56,Brooklyn Nets,Atlanta Hawks,0.6,0.473,0.412,0.797,44.4,23.7,15.2,7.3,5.8,9.6,114.3,104.7,0.6,0.75,0.48,0.409,0.851,47.3,24.7,15.0,4.8,4.0,8.1,122.3,114.8,0.63,1,12/30/2020
57,LA Clippers,Portland Trail Blazers,0.8,0.481,0.394,0.802,41.8,26.1,15.6,8.1,5.1,3.0,113.5,110.1,0.597,0.5,0.439,0.364,0.798,41.6,22.1,11.9,7.3,4.4,-8.0,109.0,117.9,0.558,1,12/30/2020
58,Miami Heat,Milwaukee Bucks,0.5,0.492,0.368,0.798,38.9,24.8,20.2,8.8,3.6,-7.1,105.6,112.4,0.606,0.4,0.486,0.428,0.782,47.8,24.3,14.5,8.7,4.4,10.4,119.7,109.7,0.605,1,12/30/2020
59,Dallas Mavericks,Charlotte Hornets,0.25,0.45,0.316,0.75,39.6,21.4,10.7,9.7,2.7,1.2,109.5,108.5,0.562,0.5,0.463,0.375,0.647,43.9,29.4,16.3,8.5,5.1,2.9,108.0,104.6,0.556,0,12/30/2020
60,Orlando Magic,Philadelphia 76ers,0.8,0.455,0.328,0.828,44.7,21.0,12.2,8.2,2.5,1.9,109.4,107.6,0.553,0.8,0.445,0.338,0.787,47.1,21.5,17.0,9.0,7.6,6.4,103.9,98.0,0.551,0,12/31/2020
61,Houston Rockets,Sacramento Kings,0.333,0.498,0.364,0.763,39.3,24.5,15.7,7.2,4.4,-3.8,112.9,116.3,0.61,0.6,0.465,0.364,0.741,44.4,23.8,14.2,6.5,5.2,-0.8,110.4,110.5,0.559,1,12/31/2020
62,Utah Jazz,Phoenix Suns,0.5,0.439,0.351,0.764,51.1,19.7,15.2,6.2,4.0,1.2,108.7,106.9,0.549,0.8,0.462,0.381,0.8,43.5,26.2,13.3,6.7,5.0,10.7,109.3,98.8,0.571,0,12/31/2020
63,Indiana Pacers,Cleveland Cavaliers,0.8,0.511,0.338,0.738,41.9,27.1,14.3,10.3,5.0,9.5,113.2,104.1,0.594,0.6,0.472,0.399,0.67,44.1,26.2,16.5,10.6,5.5,2.1,104.9,103.2,0.556,1,12/31/2020
64,Washington Wizards,Chicago Bulls,0.0,0.474,0.358,0.74,40.4,25.5,15.5,6.0,4.0,-6.4,108.9,115.1,0.574,0.4,0.456,0.374,0.794,39.3,24.0,17.0,6.8,3.7,-5.4,108.1,114.1,0.58,0,12/31/2020
65,Toronto Raptors,New York Knicks,0.25,0.413,0.342,0.758,43.7,24.2,17.1,8.9,6.5,-2.2,98.1,100.0,0.527,0.4,0.436,0.366,0.746,46.6,23.1,18.3,6.8,5.0,-4.4,101.2,104.8,0.536,1,12/31/2020
66,Oklahoma City Thunder,New Orleans Pelicans,0.25,0.449,0.327,0.623,43.7,22.1,17.9,6.9,5.4,-10.6,99.5,110.3,0.54,0.6,0.452,0.311,0.655,48.7,21.0,17.2,9.9,4.0,2.4,102.6,101.0,0.538,0,12/31/2020
67,Golden State Warriors,Portland Trail Blazers,0.4,0.398,0.306,0.803,40.0,19.6,14.0,7.4,6.1,-14.7,100.7,115.2,0.519,0.6,0.438,0.385,0.79,43.2,22.2,11.5,8.0,4.1,-1.6,111.1,113.3,0.564,0,01/01/2021
68,San Antonio Spurs,Los Angeles Lakers,0.4,0.458,0.379,0.775,45.0,26.8,12.8,5.4,6.4,-1.2,107.8,108.3,0.554,0.667,0.502,0.418,0.772,47.2,25.9,16.0,6.0,5.7,10.4,115.8,105.5,0.605,0,01/01/2021
69,Brooklyn Nets,Atlanta Hawks,0.5,0.463,0.377,0.801,44.5,22.9,15.2,7.1,5.9,5.2,111.4,106.3,0.584,0.8,0.476,0.409,0.851,47.5,24.6,14.2,5.4,3.8,10.0,121.0,111.2,0.619,0,01/01/2021
70,Detroit Pistons,Boston Celtics,0.2,0.424,0.321,0.735,46.0,22.1,15.6,7.2,3.6,-6.5,103.0,108.7,0.522,0.5,0.476,0.374,0.714,41.7,22.3,15.0,10.9,7.1,-1.2,108.7,109.5,0.564,1,01/01/2021
71,Milwaukee Bucks,Chicago Bulls,0.5,0.487,0.439,0.756,46.5,24.4,14.6,9.7,4.6,13.4,118.9,105.6,0.611,0.333,0.453,0.357,0.783,39.1,22.7,17.3,7.2,4.0,-9.0,104.4,114.4,0.568,1,01/01/2021
72,Utah Jazz,LA Clippers,0.6,0.443,0.352,0.748,50.9,21.7,15.2,5.7,3.9,2.2,109.9,107.5,0.55,0.667,0.466,0.394,0.816,42.7,25.3,14.8,7.8,5.6,1.5,113.0,110.9,0.585,1,01/01/2021
73,Dallas Mavericks,Miami Heat,0.4,0.443,0.317,0.748,41.5,20.8,12.0,9.6,2.8,3.0,106.4,104.0,0.556,0.4,0.469,0.337,0.781,39.6,24.0,19.5,9.1,3.3,-7.7,101.8,108.8,0.578,1,01/01/2021
74,Denver Nuggets,Phoenix Suns,0.2,0.492,0.366,0.732,41.0,27.5,15.0,6.9,5.0,-3.0,113.3,116.2,0.587,0.833,0.466,0.379,0.822,43.0,26.1,14.1,5.8,4.9,9.5,110.0,100.7,0.579,0,01/01/2021
75,Minnesota Timberwolves,Washington Wizards,0.4,0.426,0.313,0.735,42.3,21.2,14.4,8.2,4.9,-12.6,102.5,114.9,0.516,0.167,0.487,0.379,0.743,40.5,26.8,15.4,6.5,3.8,-2.0,111.3,113.4,0.588,0,01/01/2021
76,Charlotte Hornets,Memphis Grizzlies,0.4,0.452,0.36,0.651,43.6,28.1,16.8,8.6,4.9,-0.6,105.1,105.0,0.543,0.4,0.45,0.327,0.757,45.0,24.0,14.9,7.4,5.1,-4.0,106.2,110.6,0.543,0,01/01/2021
77,Philadelphia 76ers,Charlotte Hornets,0.833,0.469,0.359,0.774,46.5,23.6,17.7,9.1,7.5,7.8,107.2,99.7,0.576,0.333,0.445,0.362,0.697,42.7,28.9,15.9,9.6,4.9,-2.9,105.5,108.1,0.542,1,01/02/2021
78,Orlando Magic,Oklahoma City Thunder,0.667,0.439,0.314,0.822,46.4,21.0,11.2,8.0,2.2,0.2,107.9,107.5,0.532,0.4,0.447,0.325,0.684,45.3,22.0,16.7,6.5,5.3,-6.7,101.0,108.3,0.546,0,01/02/2021
79,Houston Rockets,Sacramento Kings,0.5,0.485,0.351,0.757,41.6,22.4,15.4,7.9,5.8,-1.0,110.8,111.8,0.598,0.5,0.452,0.357,0.737,45.1,21.9,14.4,6.3,5.0,-1.9,108.3,109.5,0.545,1,01/02/2021
80,Indiana Pacers,New York Knicks,0.667,0.494,0.348,0.752,40.7,26.6,13.6,9.7,4.9,7.4,112.6,105.4,0.588,0.5,0.447,0.378,0.748,47.8,23.3,18.1,6.4,4.7,-3.0,103.0,105.5,0.546,0,01/02/2021
